Parametro,Fecha,Hora,Concentraciones horarias,Unidad
PM2.5,2024-02-03,1:00 - 2:00,18,µg/m³
PM2.5,2024-02-03,2:00 - 3:00,16,µg/m³
PM2.5,2024-02-03,3:00 - 4:00,14,µg/m³
PM2.5,2024-02-03,4:00 - 5:00,10,µg/m³
PM2.5,2024-02-03,5:00 - 6:00,6,µg/m³
PM2.5,2024-02-03,6:00 - 7:00,8,µg/m³
PM2.5,2024-02-03,7:00 - 8:00,8,µg/m³
PM2.5,2024-02-03,13:00 - 14:00,7,µg/m³
PM2.5,2024-02-03,15:00 - 16:00,5,µg/m³
PM2.5,2024-02-03,16:00 - 17:00,4,µg/m³
PM2.5,2024-02-03,17:00 - 18:00,4,µg/m³
PM2.5,2024-02-03,18:00 - 19:00,4,µg/m³
PM2.5,2024-02-03,19:00 - 20:00,11,µg/m³
PM2.5,2024-02-03,20:00 - 21:00,20,µg/m³
PM2.5,2024-02-03,21:00 - 22:00,12,µg/m³
PM2.5,2024-02-03,22:00 - 23:00,12,µg/m³
PM2.5,2024-02-04,23:00 - 0:00,11,µg/m³
PM2.5,2024-02-09,14:00 - 15:00,18,µg/m³
PM2.5,2024-02-09,15:00 - 16:00,18,µg/m³
PM2.5,2024-02-09,16:00 - 17:00,17,µg/m³
PM2.5,2024-02-09,17:00 - 18:00,17,µg/m³
PM2.5,2024-02-09,18:00 - 19:00,14,µg/m³
PM2.5,2024-02-09,19:00 - 20:00,14,µg/m³
PM2.5,2024-02-09,20:00 - 21:00,17,µg/m³
PM2.5,2024-02-09,21:00 - 22:00,17,µg/m³
PM2.5,2024-02-09,22:00 - 23:00,19,µg/m³
PM2.5,2024-02-10,23:00 - 0:00,19,µg/m³
PM2.5,2024-02-10,0:00 - 1:00,20,µg/m³
PM2.5,2024-02-11,0:00 - 1:00,21,µg/m³
PM2.5,2024-02-11,1:00 - 2:00,21,µg/m³
PM2.5,2024-02-11,2:00 - 3:00,20,µg/m³
PM2.5,2024-02-11,3:00 - 4:00,20,µg/m³
PM2.5,2024-02-11,4:00 - 5:00,18,µg/m³
