Parametro,Fecha,Hora,Concentraciones horarias,Unidad
PM10,21/01/2024,18:00 - 19:00,25,µg/m³
PM10,21/01/2024,19:00 - 20:00,33,µg/m³
PM10,21/01/2024,20:00 - 21:00,32,µg/m³
PM10,21/01/2024,21:00 - 22:00,45,µg/m³
PM10,21/01/2024,22:00 - 23:00,43,µg/m³
PM10,22/01/2024,23:00 - 0:00,52,µg/m³
PM10,22/01/2024,0:00 - 1:00,48,µg/m³
PM10,22/01/2024,1:00 - 2:00,45,µg/m³
PM10,22/01/2024,2:00 - 3:00,62,µg/m³
PM10,22/01/2024,3:00 - 4:00,55,µg/m³
PM10,22/01/2024,4:00 - 5:00,59,µg/m³
PM10,22/01/2024,5:00 - 6:00,59,µg/m³
PM10,22/01/2024,6:00 - 7:00,50,µg/m³
PM10,22/01/2024,7:00 - 8:00,64,µg/m³
PM10,22/01/2024,8:00 - 9:00,55,µg/m³
PM10,22/01/2024,9:00 - 10:00,55,µg/m³
PM10,22/01/2024,10:00 - 11:00,54,µg/m³
PM10,22/01/2024,11:00 - 12:00,70,µg/m³
PM10,22/01/2024,12:00 - 13:00,65,µg/m³
PM10,22/01/2024,13:00 - 14:00,79,µg/m³
PM10,22/01/2024,14:00 - 15:00,120,µg/m³
PM10,22/01/2024,15:00 - 16:00,119,µg/m³
PM10,22/01/2024,16:00 - 17:00,118,µg/m³
PM10,22/01/2024,17:00 - 18:00,131,µg/m³
PM10,22/01/2024,18:00 - 19:00,109,µg/m³
PM10,22/01/2024,19:00 - 20:00,143,µg/m³
PM10,22/01/2024,20:00 - 21:00,171,µg/m³
PM10,22/01/2024,21:00 - 22:00,172,µg/m³
PM10,22/01/2024,22:00 - 23:00,149,µg/m³
PM10,23/01/2024,23:00 - 0:00,150,µg/m³
PM10,23/01/2024,0:00 - 1:00,184,µg/m³
PM10,23/01/2024,1:00 - 2:00,168,µg/m³
PM10,23/01/2024,2:00 - 3:00,161,µg/m³
PM10,23/01/2024,3:00 - 4:00,152,µg/m³
PM10,23/01/2024,4:00 - 5:00,171,µg/m³
PM10,23/01/2024,5:00 - 6:00,157,µg/m³
PM10,23/01/2024,6:00 - 7:00,164,µg/m³
PM10,23/01/2024,7:00 - 8:00,141,µg/m³
PM10,23/01/2024,8:00 - 9:00,179,µg/m³
PM10,23/01/2024,9:00 - 10:00,215,µg/m³
PM10,23/01/2024,10:00 - 11:00,113,µg/m³
PM10,23/01/2024,11:00 - 12:00,91,µg/m³
PM10,23/01/2024,12:00 - 13:00,98,µg/m³
PM10,23/01/2024,13:00 - 14:00,104,µg/m³
PM10,23/01/2024,14:00 - 15:00,98,µg/m³
PM10,23/01/2024,15:00 - 16:00,97,µg/m³
PM10,23/01/2024,16:00 - 17:00,91,µg/m³
PM10,23/01/2024,17:00 - 18:00,91,µg/m³
PM10,23/01/2024,18:00 - 19:00,109,µg/m³
PM10,23/01/2024,19:00 - 20:00,77,µg/m³
PM10,23/01/2024,20:00 - 21:00,67,µg/m³
PM10,23/01/2024,21:00 - 22:00,44,µg/m³
PM10,23/01/2024,22:00 - 23:00,43,µg/m³
PM10,24/01/2024,23:00 - 0:00,53,µg/m³
PM10,24/01/2024,0:00 - 1:00,70,µg/m³
PM10,24/01/2024,1:00 - 2:00,62,µg/m³
PM10,24/01/2024,2:00 - 3:00,67,µg/m³
PM10,24/01/2024,3:00 - 4:00,91,µg/m³
PM10,24/01/2024,4:00 - 5:00,90,µg/m³
PM10,24/01/2024,5:00 - 6:00,67,µg/m³
PM10,24/01/2024,6:00 - 7:00,57,µg/m³
PM10,24/01/2024,7:00 - 8:00,71,µg/m³
PM10,24/01/2024,8:00 - 9:00,82,µg/m³
PM10,24/01/2024,9:00 - 10:00,65,µg/m³
PM10,24/01/2024,10:00 - 11:00,57,µg/m³
PM10,24/01/2024,11:00 - 12:00,58,µg/m³
